Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy Level,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,Effective To Date - Month,Effective To Date - Year
RL74454,Nevada,No,Basic,Bachelor,2011-02-06,Employed,F,Urban,Married,Personal Auto,3,2,Branch,Standard,Medsize,2,2011
DQ31994,Nevada,No,Extended,College,2011-02-19,Unemployed,F,Suburban,Single,Corporate Auto,2,2,Agent,Standard,Medsize,2,2011
DN98431,Oregon,No,Basic,High School or Below,2011-02-27,Unemployed,F,Suburban,Married,Corporate Auto,3,1,Branch,Standard,Medsize,2,2011
EV53200,Nevada,No,Basic,College,2011-01-08,Employed,M,Urban,Divorced,Personal Auto,2,1,Agent,Sports,Medsize,1,2011
AJ89107,Arizona,No,Extended,High School or Below,2011-02-02,Employed,M,Suburban,Married,Personal Auto,3,4,Branch,Standard,Large,2,2011
WS25565,California,Yes,Basic,Master,2011-01-31,Disabled,M,Suburban,Divorced,Personal Auto,1,1,Call Center,Standard,Small,1,2011
ZY33234,Nevada,No,Premium,High School or Below,2011-01-12,Employed,F,Suburban,Single,Personal Auto,3,4,Branch,Standard,Large,1,2011
QW17286,Washington,No,Basic,Master,2011-02-13,Employed,F,Urban,Married,Personal Auto,2,4,Web,Standard,Medsize,2,2011
TO34442,Washington,No,Basic,College,2011-02-23,Employed,M,Suburban,Married,Personal Auto,3,1,Branch,Standard,Small,2,2011
DG90902,California,No,Basic,College,2011-01-12,Employed,F,Suburban,Married,Personal Auto,2,2,Agent,Standard,Medsize,1,2011
SW96063,Arizona,No,Extended,Bachelor,2011-02-23,Employed,F,Urban,Divorced,Personal Auto,3,1,Call Center,Sports,Medsize,2,2011
CP19929,California,No,Basic,Bachelor,2011-02-10,Unemployed,F,Suburban,Single,Corporate Auto,3,1,Agent,Standard,Medsize,2,2011
KR50062,Oregon,No,Basic,College,2011-02-11,Employed,M,Suburban,Married,Personal Auto,3,2,Call Center,Standard,Medsize,2,2011
CU19735,Arizona,No,Basic,High School or Below,2011-02-24,Employed,M,Suburban,Married,Corporate Auto,1,1,Call Center,Sports,Medsize,2,2011
ST52914,Arizona,No,Extended,College,2011-02-05,Employed,M,Suburban,Divorced,Personal Auto,3,4,Branch,Standard,Medsize,2,2011
WQ68301,Oregon,No,Basic,Bachelor,2011-01-29,Medical Leave,M,Suburban,Married,Personal Auto,3,4,Agent,Standard,Large,1,2011
LR33381,Nevada,No,Basic,Doctor,2011-02-18,Unemployed,M,Suburban,Married,Personal Auto,3,3,Agent,Standard,Small,2,2011
UR36912,California,No,Basic,Bachelor,2011-01-31,Employed,M,Suburban,Married,Personal Auto,3,2,Agent,Standard,Medsize,1,2011
SK46419,California,No,Basic,High School or Below,2011-01-31,Employed,M,Suburban,Single,Personal Auto,3,4,Branch,Sports,Medsize,1,2011
BY88757,California,No,Extended,Master,2011-02-03,Unemployed,M,Suburban,Married,Personal Auto,3,1,Call Center,Sports,Large,2,2011
ER65086,Nevada,No,Extended,Doctor,2011-01-18,Employed,M,Rural,Married,Personal Auto,3,3,Branch,Standard,Medsize,1,2011
TP87527,California,No,Basic,High School or Below,2011-02-15,Unemployed,F,Suburban,Divorced,Corporate Auto,3,1,Branch,Standard,Large,2,2011
VL80291,Nevada,No,Extended,Master,2011-01-04,Employed,F,Rural,Divorced,Personal Auto,3,2,Web,Standard,Medsize,1,2011
WL45773,California,No,Basic,Doctor,2011-01-02,Employed,F,Urban,Married,Special Auto,2,2,Call Center,Standard,Medsize,1,2011
TT36693,Nevada,Yes,Premium,College,2011-01-03,Employed,M,Suburban,Married,Personal Auto,2,2,Branch,Standard,Medsize,1,2011
PT12544,Arizona,No,Extended,College,2011-02-24,Employed,M,Urban,Married,Personal Auto,2,2,Call Center,Standard,Medsize,2,2011
CI24326,Oregon,No,Extended,Bachelor,2011-01-23,Unemployed,M,Suburban,Married,Personal Auto,3,4,Web,Standard,Medsize,1,2011
YQ73717,California,No,Basic,High School or Below,2011-01-31,Unemployed,M,Suburban,Married,Personal Auto,1,4,Agent,Standard,Medsize,1,2011
FG99706,Oregon,No,Extended,College,2011-01-06,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,Standard,Medsize,1,2011
OM63414,Arizona,No,Basic,Bachelor,2011-02-21,Employed,F,Rural,Single,Personal Auto,3,1,Agent,Standard,Large,2,2011
JQ74890,Nevada,No,Extended,Bachelor,2011-01-19,Unemployed,M,Suburban,Single,Corporate Auto,2,1,Branch,Standard,Medsize,1,2011
FP93662,California,No,Extended,Master,2011-02-06,Employed,F,Suburban,Married,Corporate Auto,2,4,Branch,Standard,Large,2,2011
PF40592,Washington,No,Basic,College,2011-01-08,Medical Leave,F,Rural,Married,Personal Auto,2,2,Web,Standard,Medsize,1,2011
EW82164,California,No,Basic,Bachelor,2011-02-03,Employed,F,Suburban,Married,Personal Auto,2,1,Agent,Sports,Small,2,2011
KV99550,California,No,Basic,High School or Below,2011-02-14,Unemployed,M,Suburban,Married,Personal Auto,3,2,Agent,Standard,Small,2,2011
CA96230,California,No,Basic,Doctor,2011-02-10,Employed,M,Rural,Married,Personal Auto,2,3,Branch,Sports,Medsize,2,2011
QN17712,Oregon,No,Basic,College,2011-01-11,Unemployed,F,Urban,Divorced,Personal Auto,3,1,Web,Sports,Medsize,1,2011
KM79894,Arizona,No,Extended,Master,2011-01-21,Employed,M,Suburban,Married,Corporate Auto,3,2,Agent,Standard,Medsize,1,2011
YC54142,Washington,No,Extended,High School or Below,2011-01-26,Unemployed,M,Suburban,Single,Personal Auto,1,1,Branch,Luxury,Medsize,1,2011
DZ45471,Nevada,Yes,Basic,College,2011-02-03,Employed,M,Urban,Married,Personal Auto,1,2,Web,Standard,Medsize,2,2011
DE18949,Oregon,No,Basic,College,2011-01-16,Employed,F,Rural,Married,Corporate Auto,3,1,Call Center,Standard,Small,1,2011
BN74268,Arizona,No,Extended,College,2011-01-04,Employed,F,Suburban,Married,Personal Auto,3,1,Branch,Standard,Medsize,1,2011
QJ93301,Nevada,No,Premium,Master,2011-01-11,Employed,M,Urban,Married,Personal Auto,3,3,Agent,Standard,Medsize,1,2011
OO92815,Arizona,No,Extended,High School or Below,2011-02-04,Employed,F,Suburban,Married,Personal Auto,1,1,Agent,Standard,Medsize,2,2011
HV50891,Nevada,Yes,Extended,Doctor,2011-02-01,Employed,M,Suburban,Married,Personal Auto,3,1,Branch,Standard,Medsize,2,2011
RK59543,California,Yes,Basic,High School or Below,2011-02-05,Employed,F,Suburban,Single,Personal Auto,3,2,Call Center,Standard,Medsize,2,2011
IH54239,California,No,Basic,Master,2011-02-01,Employed,M,Rural,Married,Personal Auto,3,2,Branch,Standard,Medsize,2,2011
GB14456,Nevada,No,Extended,High School or Below,2011-02-13,Unemployed,M,Suburban,Single,Personal Auto,2,1,Branch,Sports,Large,2,2011
RC95515,Arizona,No,Basic,College,2011-01-16,Medical Leave,M,Urban,Divorced,Personal Auto,3,3,Branch,Standard,Medsize,1,2011
TI61458,California,Yes,Extended,Bachelor,2011-01-20,Employed,F,Urban,Divorced,Personal Auto,3,2,Web,Standard,Medsize,1,2011
RB49468,Oregon,No,Basic,Bachelor,2011-01-20,Unemployed,F,Suburban,Single,Personal Auto,3,1,Branch,Standard,Medsize,1,2011
SJ18454,Oregon,No,Basic,High School or Below,2011-01-19,Unemployed,M,Suburban,Single,Personal Auto,3,3,Call Center,Sports,Medsize,1,2011
KC19420,California,No,Extended,College,2011-01-11,Disabled,F,Suburban,Married,Personal Auto,3,1,Agent,Sports,Large,1,2011
TP12241,California,No,Basic,College,2011-02-07,Medical Leave,F,Urban,Married,Personal Auto,3,1,Branch,Standard,Medsize,2,2011
BD89564,Nevada,Yes,Premium,College,2011-01-19,Employed,M,Suburban,Single,Personal Auto,3,2,Branch,Sports,Medsize,1,2011
SG20925,Washington,No,Basic,Master,2011-01-23,Employed,F,Rural,Married,Personal Auto,3,1,Call Center,Standard,Medsize,1,2011
CJ97736,Oregon,No,Basic,College,2011-02-16,Employed,F,Suburban,Married,Personal Auto,3,2,Web,Standard,Small,2,2011
SK79760,Washington,No,Extended,Bachelor,2011-01-02,Medical Leave,M,Suburban,Divorced,Corporate Auto,2,1,Branch,Sports,Medsize,1,2011
YB70005,Oregon,No,Extended,College,2011-01-02,Employed,M,Rural,Married,Special Auto,2,1,Branch,Sports,Large,1,2011
QI40455,Oregon,No,Basic,Doctor,2011-02-27,Unemployed,F,Urban,Married,Personal Auto,3,1,Branch,Sports,Large,2,2011
YL72747,California,No,Basic,High School or Below,2011-01-25,Unemployed,M,Suburban,Divorced,Personal Auto,3,1,Branch,Standard,Medsize,1,2011
FL18392,California,No,Basic,Bachelor,2011-02-28,Employed,F,Urban,Married,Personal Auto,3,3,Branch,Standard,Small,2,2011
AL21967,Oregon,No,Extended,Master,2011-01-05,Employed,M,Rural,Married,Corporate Auto,2,4,Call Center,Standard,Medsize,1,2011
KC67431,California,No,Extended,College,2011-01-18,Employed,F,Rural,Married,Personal Auto,2,3,Branch,Sports,Medsize,1,2011
EG40823,Oregon,No,Basic,Bachelor,2011-01-20,Unemployed,F,Suburban,Married,Personal Auto,2,1,Agent,Sports,Medsize,1,2011
QO89177,California,No,Premium,College,2011-02-03,Employed,M,Suburban,Divorced,Personal Auto,3,1,Agent,Standard,Small,2,2011
AV72430,Oregon,No,Premium,Master,2011-02-08,Employed,M,Suburban,Married,Personal Auto,3,3,Branch,Standard,Small,2,2011
AT36002,Washington,No,Basic,College,2011-02-04,Unemployed,F,Suburban,Single,Personal Auto,1,1,Agent,Luxury,Medsize,2,2011
WI29961,Nevada,No,Basic,High School or Below,2011-02-03,Employed,M,Suburban,Married,Personal Auto,2,2,Branch,Standard,Medsize,2,2011
ZR11692,California,No,Basic,Bachelor,2011-01-29,Employed,M,Urban,Married,Corporate Auto,3,3,Call Center,Standard,Medsize,1,2011
No36572,Oregon,No,Premium,High School or Below,2011-02-16,Employed,M,Suburban,Married,Personal Auto,2,2,Call Center,Standard,Large,2,2011
YZ56105,California,No,Extended,High School or Below,2011-01-11,Unemployed,F,Suburban,Single,Personal Auto,1,1,Branch,Standard,Medsize,1,2011
MN62189,California,No,Basic,High School or Below,2011-01-19,Medical Leave,F,Suburban,Divorced,Personal Auto,2,1,Agent,Sports,Medsize,1,2011
MQ32284,California,No,Basic,College,2011-01-23,Employed,F,Suburban,Married,Personal Auto,3,1,Agent,Sports,Medsize,1,2011
NS38229,Nevada,No,Basic,College,2011-02-21,Employed,F,Rural,Married,Personal Auto,2,1,Agent,Standard,Medsize,2,2011
IB41597,California,No,Extended,College,2011-02-12,Employed,F,Urban,Married,Personal Auto,3,1,Agent,Standard,Medsize,2,2011
IP68868,Oregon,No,Premium,High School or Below,2011-01-18,Unemployed,M,Suburban,Single,Personal Auto,2,1,Branch,Standard,Small,1,2011
EL70257,California,No,Basic,High School or Below,2011-01-01,Employed,F,Suburban,Divorced,Personal Auto,1,1,Agent,Standard,Medsize,1,2011
NB27041,Arizona,Yes,Premium,High School or Below,2011-01-21,Employed,F,Suburban,Married,Corporate Auto,3,2,Web,Standard,Large,1,2011
BM28359,Oregon,No,Basic,High School or Below,2011-01-29,Employed,M,Urban,Single,Personal Auto,3,2,Agent,Standard,Large,1,2011
VB77950,California,No,Extended,High School or Below,2011-01-07,Medical Leave,F,Suburban,Married,Personal Auto,2,1,Agent,Standard,Medsize,1,2011
PE47967,Oregon,No,Basic,College,2011-01-15,Employed,F,Rural,Divorced,Personal Auto,1,2,Branch,Luxury,Medsize,1,2011
QR47308,Nevada,No,Basic,College,2011-01-15,Employed,F,Urban,Married,Personal Auto,3,2,Web,Standard,Large,1,2011
YU49449,California,No,Basic,Bachelor,2011-02-07,Employed,M,Suburban,Married,Personal Auto,2,1,Agent,Standard,Medsize,2,2011
KN25124,Oregon,No,Basic,Master,2011-01-09,Employed,F,Urban,Married,Personal Auto,2,1,Branch,Standard,Medsize,1,2011
HI51182,Oregon,No,Premium,College,2011-01-03,Employed,F,Suburban,Married,Personal Auto,3,1,Branch,Standard,Medsize,1,2011
MS18916,California,Yes,Extended,College,2011-01-05,Medical Leave,M,Suburban,Married,Personal Auto,1,2,Branch,Standard,Small,1,2011
IE40701,California,No,Basic,High School or Below,2011-01-30,Employed,M,Suburban,Married,Personal Auto,2,2,Call Center,Standard,Small,1,2011
UT48216,Nevada,Yes,Extended,College,2011-01-14,Employed,M,Suburban,Single,Personal Auto,1,2,Agent,Luxury,Small,1,2011
VN92740,Arizona,Yes,Basic,College,2011-01-11,Employed,F,Rural,Single,Corporate Auto,3,2,Agent,Standard,Medsize,1,2011
IZ55070,Nevada,No,Basic,High School or Below,2011-01-07,Employed,F,Suburban,Married,Personal Auto,2,2,Web,Standard,Medsize,1,2011
PQ19113,Washington,No,Premium,Bachelor,2011-02-10,Employed,F,Urban,Married,Personal Auto,2,4,Agent,Sports,Medsize,2,2011
AW48347,Washington,Yes,Extended,Master,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Sports,Small,1,2011
DY30071,Oregon,No,Basic,Bachelor,2011-01-07,Employed,M,Rural,Married,Personal Auto,3,2,Agent,Standard,Small,1,2011
ZN24083,Oregon,No,Basic,Doctor,2011-02-26,Employed,M,Suburban,Divorced,Corporate Auto,2,1,Web,Standard,Small,2,2011
JU74347,Oregon,No,Basic,Bachelor,2011-01-03,Employed,M,Urban,Married,Corporate Auto,3,1,Agent,Sports,Small,1,2011
YJ35850,Oregon,No,Extended,High School or Below,2011-02-10,Employed,M,Urban,Married,Personal Auto,3,2,Web,Sports,Medsize,2,2011
JP41935,Washington,No,Basic,High School or Below,2011-02-10,Employed,M,Suburban,Married,Personal Auto,2,2,Branch,Standard,Medsize,2,2011
GP67816,California,No,Premium,High School or Below,2011-01-16,Employed,F,Urban,Married,Personal Auto,2,2,Branch,Standard,Medsize,1,2011
PW51793,Oregon,No,Extended,Bachelor,2011-01-02,Employed,M,Suburban,Divorced,Personal Auto,2,1,Branch,Standard,Small,1,2011
UF59346,California,No,Basic,Bachelor,2011-02-09,Employed,M,Rural,Married,Personal Auto,1,2,Call Center,Sports,Small,2,2011
FG29932,California,Yes,Extended,College,2011-01-14,Employed,M,Suburban,Single,Special Auto,2,2,Agent,Luxury,Small,1,2011
ER19995,Washington,No,Basic,College,2011-01-22,Employed,F,Urban,Single,Personal Auto,3,3,Call Center,Standard,Medsize,1,2011
BY54111,Oregon,No,Basic,High School or Below,2011-02-05,Disabled,M,Suburban,Married,Personal Auto,2,2,Branch,Standard,Medsize,2,2011
RI85578,Washington,No,Basic,Bachelor,2011-02-22,Employed,F,Suburban,Married,Personal Auto,3,2,Call Center,Standard,Small,2,2011
PT15464,Arizona,No,Basic,Bachelor,2011-02-03,Employed,F,Rural,Married,Personal Auto,3,2,Agent,Sports,Medsize,2,2011
BP92643,Arizona,Yes,Premium,High School or Below,2011-02-01,Employed,F,Suburban,Single,Personal Auto,1,1,Agent,Standard,Medsize,2,2011
NG85002,Washington,No,Extended,High School or Below,2011-01-26,Employed,M,Suburban,Married,Corporate Auto,3,2,Branch,Sports,Medsize,1,2011
GQ46925,Arizona,No,Premium,High School or Below,2011-02-15,Employed,M,Urban,Married,Personal Auto,1,4,Call Center,Sports,Medsize,2,2011
RF14806,Arizona,No,Extended,College,2011-02-18,Employed,F,Suburban,Divorced,Personal Auto,3,2,Branch,Standard,Medsize,2,2011
KJ23009,California,No,Extended,Bachelor,2011-02-26,Employed,F,Suburban,Married,Corporate Auto,3,3,Agent,Sports,Medsize,2,2011
IB81655,California,No,Basic,Bachelor,2011-01-24,Employed,M,Suburban,Single,Personal Auto,2,1,Branch,Sports,Medsize,1,2011
GK92563,Washington,No,Extended,Doctor,2011-01-10,Employed,F,Rural,Divorced,Personal Auto,2,2,Agent,Standard,Medsize,1,2011
HR64684,Oregon,No,Extended,Master,2011-02-08,Unemployed,M,Suburban,Divorced,Personal Auto,2,1,Agent,Standard,Medsize,2,2011
QS96715,Nevada,No,Basic,High School or Below,2011-01-30,Employed,F,Rural,Married,Personal Auto,2,3,Web,Sports,Medsize,1,2011
SW55711,Oregon,No,Premium,High School or Below,2011-02-04,Disabled,M,Suburban,Married,Corporate Auto,3,3,Branch,Standard,Medsize,2,2011
LZ19268,California,Yes,Basic,College,2011-01-26,Medical Leave,F,Suburban,Married,Personal Auto,3,1,Branch,Sports,Large,1,2011
FU74983,Nevada,No,Extended,Bachelor,2011-02-07,Employed,F,Urban,Divorced,Personal Auto,3,1,Call Center,Standard,Medsize,2,2011
KB99097,California,Yes,Basic,Bachelor,2011-01-30,Unemployed,F,Suburban,Single,Special Auto,3,1,Web,Standard,Medsize,1,2011
AP52126,Oregon,No,Basic,College,2011-01-28,Employed,F,Rural,Married,Personal Auto,3,2,Branch,Sports,Medsize,1,2011
EX61844,Arizona,No,Basic,High School or Below,2011-02-27,Employed,M,Urban,Married,Personal Auto,2,2,Agent,Standard,Medsize,2,2011
QC30857,Nevada,No,Basic,College,2011-02-28,Employed,F,Urban,Married,Personal Auto,2,1,Agent,Standard,Medsize,2,2011
RT69513,California,No,Basic,Bachelor,2011-02-25,Unemployed,F,Suburban,Married,Personal Auto,2,2,Agent,Standard,Small,2,2011
HV85198,Arizona,No,Basic,Master,2011-02-01,Employed,M,Urban,Married,Personal Auto,3,1,Branch,Standard,Small,2,2011
BS91566,Arizona,No,Basic,College,2011-02-04,Employed,F,Rural,Married,Corporate Auto,2,2,Call Center,Standard,Large,2,2011
IL40123,Nevada,No,Basic,College,2011-01-27,Employed,F,Suburban,Married,Corporate Auto,3,2,Branch,Standard,Medsize,1,2011
MY32149,California,No,Extended,Master,2011-01-18,Unemployed,F,Rural,Married,Personal Auto,2,1,Agent,Standard,Medsize,1,2011
SA91515,California,No,Basic,Bachelor,2011-01-28,Unemployed,M,Suburban,Married,Personal Auto,1,1,Call Center,Sports,Large,1,2011
SA25987,Washington,No,Premium,High School or Below,2011-01-29,Unemployed,M,Suburban,Single,Personal Auto,2,3,Branch,Standard,Medsize,1,2011
TB86706,Arizona,No,Basic,Master,2011-01-15,Unemployed,M,Rural,Married,Personal Auto,1,4,Branch,Standard,Medsize,1,2011
ZL73902,Nevada,Yes,Extended,Bachelor,2011-01-26,Employed,F,Suburban,Divorced,Personal Auto,3,1,Agent,Standard,Medsize,1,2011
KX23516,California,No,Extended,High School or Below,2011-02-20,Unemployed,F,Suburban,Married,Personal Auto,3,4,Agent,Sports,Medsize,2,2011
FN77294,California,No,Basic,High School or Below,2011-02-24,Employed,M,Suburban,Single,Personal Auto,2,1,Branch,Sports,Medsize,2,2011
VI78454,Arizona,No,Basic,College,2011-01-22,Employed,M,Suburban,Divorced,Personal Auto,2,4,Call Center,Standard,Large,1,2011
FP59138,Oregon,Yes,Extended,Master,2011-01-31,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Sports,Small,1,2011
XN62489,Oregon,Yes,Basic,Bachelor,2011-02-17,Retired,M,Suburban,Divorced,Corporate Auto,3,2,Web,Standard,Medsize,2,2011
GP66031,California,No,Basic,College,2011-01-24,Employed,F,Rural,Married,Corporate Auto,1,2,Agent,Standard,Medsize,1,2011
IX68587,Nevada,Yes,Basic,Master,2011-01-28,Disabled,F,Suburban,Divorced,Personal Auto,2,1,Agent,Standard,Small,1,2011
HX17929,California,Yes,Extended,High School or Below,2011-02-19,Retired,F,Suburban,Divorced,Personal Auto,2,1,Agent,Standard,Large,2,2011
IC59236,California,No,Basic,College,2011-01-28,Employed,F,Rural,Married,Corporate Auto,3,1,Branch,Standard,Medsize,1,2011
VG31922,Nevada,No,Premium,Bachelor,2011-02-06,Unemployed,F,Suburban,Married,Personal Auto,3,1,Call Center,Sports,Small,2,2011
HP87787,Arizona,Yes,Basic,Bachelor,2011-01-21,Employed,M,Rural,Married,Corporate Auto,3,2,Agent,Sports,Medsize,1,2011
AL78075,Oregon,No,Premium,High School or Below,2011-02-13,Unemployed,M,Suburban,Single,Personal Auto,2,2,Branch,Standard,Medsize,2,2011
WA97671,Arizona,No,Basic,Bachelor,2011-01-17,Unemployed,M,Suburban,Single,Personal Auto,1,1,Branch,Standard,Medsize,1,2011
QZ77637,Washington,No,Basic,College,2011-02-06,Employed,F,Rural,Married,Corporate Auto,1,1,Agent,Standard,Large,2,2011
FP11777,California,Yes,Extended,Doctor,2011-01-18,Employed,M,Suburban,Divorced,Corporate Auto,2,2,Agent,Sports,Medsize,1,2011
ID45268,California,No,Extended,College,2011-01-08,Unemployed,F,Suburban,Married,Personal Auto,3,2,Web,Standard,Medsize,1,2011
AX86150,Washington,No,Basic,High School or Below,2011-02-09,Employed,M,Rural,Single,Personal Auto,1,4,Agent,Standard,Medsize,2,2011
MW57614,Arizona,Yes,Basic,Bachelor,2011-01-11,Disabled,F,Suburban,Divorced,Personal Auto,2,1,Web,Standard,Medsize,1,2011
TJ30081,Arizona,Yes,Basic,Bachelor,2011-02-10,Employed,M,Suburban,Single,Personal Auto,2,1,Call Center,Sports,Medsize,2,2011
FW44940,California,No,Basic,Bachelor,2011-02-10,Disabled,F,Suburban,Divorced,Personal Auto,1,3,Web,Sports,Medsize,2,2011
CS55808,California,No,Extended,College,2011-01-30,Unemployed,M,Suburban,Single,Personal Auto,3,3,Branch,Standard,Medsize,1,2011
WZ61178,California,No,Basic,Bachelor,2011-01-05,Medical Leave,F,Suburban,Married,Personal Auto,2,1,Branch,Standard,Small,1,2011
IV55977,Oregon,No,Basic,Bachelor,2011-02-11,Unemployed,M,Suburban,Married,Personal Auto,3,2,Web,Standard,Small,2,2011
YC67208,California,Yes,Basic,High School or Below,2011-01-05,Retired,M,Suburban,Married,Personal Auto,3,3,Web,Standard,Medsize,1,2011
LZ89773,California,No,Basic,Doctor,2011-02-17,Unemployed,M,Suburban,Married,Personal Auto,3,3,Agent,Standard,Small,2,2011
IP52990,Oregon,No,Basic,High School or Below,2011-02-24,Employed,F,Urban,Married,Personal Auto,3,2,Web,Sports,Medsize,2,2011
VF73104,Arizona,No,Basic,High School or Below,2011-02-06,Employed,F,Rural,Married,Personal Auto,3,3,Agent,Standard,Medsize,2,2011
OC80343,Oregon,No,Basic,Bachelor,2011-01-04,Employed,M,Rural,Single,Personal Auto,2,1,Web,Sports,Medsize,1,2011
EL89222,California,Yes,Basic,Bachelor,2011-01-14,Employed,F,Urban,Married,Personal Auto,3,2,Branch,Sports,Medsize,1,2011
QB14114,Oregon,No,Extended,High School or Below,2011-01-13,Employed,F,Urban,Single,Personal Auto,3,1,Call Center,Sports,Medsize,1,2011
HM41195,Arizona,No,Extended,High School or Below,2011-01-02,Medical Leave,M,Suburban,Married,Personal Auto,3,4,Branch,Standard,Large,1,2011
JT41591,Washington,No,Extended,College,2011-02-14,Unemployed,M,Suburban,Single,Personal Auto,1,1,Agent,Standard,Large,2,2011
HE15857,Washington,No,Extended,Bachelor,2011-02-18,Employed,M,Suburban,Single,Personal Auto,3,1,Call Center,Standard,Medsize,2,2011
KI64666,Nevada,No,Basic,Bachelor,2011-02-28,Unemployed,F,Suburban,Single,Personal Auto,2,1,Call Center,Standard,Medsize,2,2011
JC33752,Oregon,No,Extended,College,2011-01-21,Employed,F,Suburban,Single,Personal Auto,3,2,Agent,Standard,Large,1,2011
JA25453,California,No,Premium,High School or Below,2011-02-25,Unemployed,M,Suburban,Single,Personal Auto,2,1,Agent,Standard,Small,2,2011
AJ69778,Oregon,No,Extended,High School or Below,2011-02-16,Employed,F,Rural,Divorced,Personal Auto,3,2,Web,Standard,Medsize,2,2011
FQ83162,Washington,No,Basic,College,2011-02-01,Unemployed,M,Suburban,Divorced,Personal Auto,2,1,Agent,Sports,Medsize,2,2011
EY89842,Arizona,No,Basic,Bachelor,2011-02-15,Unemployed,M,Suburban,Single,Corporate Auto,3,1,Call Center,Sports,Medsize,2,2011
TG69238,Oregon,No,Basic,Bachelor,2011-01-08,Employed,F,Urban,Married,Personal Auto,2,1,Call Center,Sports,Small,1,2011
UI63465,Oregon,No,Basic,High School or Below,2011-01-18,Employed,F,Suburban,Divorced,Corporate Auto,1,1,Agent,Standard,Small,1,2011
WX33904,Arizona,No,Basic,Bachelor,2011-01-17,Unemployed,M,Suburban,Divorced,Special Auto,2,1,Branch,Standard,Medsize,1,2011
HA20933,Oregon,No,Basic,Bachelor,2011-01-07,Medical Leave,F,Suburban,Married,Personal Auto,2,1,Agent,Sports,Medsize,1,2011
BU16704,Oregon,No,Extended,High School or Below,2011-02-08,Unemployed,F,Suburban,Single,Personal Auto,1,2,Branch,Standard,Large,2,2011
JV68002,Washington,Yes,Extended,College,2011-01-25,Retired,M,Suburban,Married,Corporate Auto,1,1,Agent,Standard,Medsize,1,2011
PM78410,Oregon,No,Basic,Bachelor,2011-01-24,Unemployed,F,Suburban,Single,Personal Auto,3,1,Agent,Standard,Medsize,1,2011
PU92298,Arizona,No,Basic,Bachelor,2011-01-27,Medical Leave,F,Suburban,Married,Personal Auto,3,1,Call Center,Standard,Medsize,1,2011
AA16582,Washington,Yes,Basic,Bachelor,2011-01-26,Medical Leave,M,Suburban,Divorced,Personal Auto,2,1,Agent,Standard,Medsize,1,2011
AZ87715,California,No,Basic,High School or Below,2011-02-15,Employed,F,Urban,Divorced,Personal Auto,1,3,Branch,Standard,Medsize,2,2011
GI89160,California,No,Basic,Bachelor,2011-01-06,Employed,F,Suburban,Married,Personal Auto,3,2,Call Center,Luxury,Medsize,1,2011
WV57813,Oregon,No,Basic,Bachelor,2011-02-18,Unemployed,F,Suburban,Single,Personal Auto,2,1,Branch,Standard,Medsize,2,2011
EW86465,Arizona,No,Basic,High School or Below,2011-02-07,Employed,M,Suburban,Married,Corporate Auto,2,3,Web,Standard,Medsize,2,2011
UW70224,Oregon,No,Basic,College,2011-01-26,Employed,F,Suburban,Married,Personal Auto,1,2,Call Center,Standard,Small,1,2011
LU12532,California,Yes,Extended,High School or Below,2011-02-19,Disabled,F,Suburban,Married,Personal Auto,3,1,Agent,Standard,Small,2,2011
WD48852,Oregon,No,Basic,College,2011-01-04,Unemployed,F,Suburban,Single,Special Auto,2,3,Agent,Luxury,Medsize,1,2011
BH43379,Oregon,No,Extended,Bachelor,2011-01-02,Employed,F,Urban,Divorced,Personal Auto,3,3,Branch,Standard,Large,1,2011
GV59387,California,No,Basic,College,2011-01-08,Medical Leave,F,Urban,Married,Personal Auto,2,1,Call Center,Standard,Large,1,2011
LQ76410,Arizona,Yes,Extended,College,2011-01-05,Employed,M,Urban,Divorced,Special Auto,1,2,Call Center,Standard,Medsize,1,2011
MF19231,California,No,Extended,Master,2011-02-22,Employed,M,Suburban,Married,Personal Auto,1,2,Call Center,Standard,Medsize,2,2011
XS47087,Oregon,No,Basic,College,2011-01-22,Disabled,M,Suburban,Married,Personal Auto,2,1,Agent,Sports,Medsize,1,2011
IL56791,Oregon,No,Basic,Bachelor,2011-02-11,Unemployed,M,Suburban,Single,Personal Auto,3,2,Agent,Standard,Medsize,2,2011
UV88036,Nevada,No,Extended,High School or Below,2011-02-17,Unemployed,F,Suburban,Married,Personal Auto,3,2,Agent,Standard,Medsize,2,2011
SE76116,California,No,Basic,Bachelor,2011-01-29,Employed,M,Rural,Divorced,Personal Auto,2,1,Branch,Sports,Medsize,1,2011
GJ63103,Oregon,No,Basic,High School or Below,2011-02-06,Medical Leave,F,Suburban,Married,Personal Auto,3,1,Web,Standard,Small,2,2011
PL78574,Arizona,Yes,Premium,High School or Below,2011-02-27,Employed,M,Suburban,Single,Personal Auto,3,1,Agent,Standard,Medsize,2,2011
NV69875,Oregon,No,Basic,High School or Below,2011-01-22,Employed,M,Rural,Married,Corporate Auto,2,4,Branch,Standard,Medsize,1,2011
